model,cv_mae,val_mae,test_mae
cosine|joint|k=5|inverse,1.2458628330678323,1.052803082515496,2.4652367818962433
euclidean|image|k=8|inverse,1.251810415786954,1.1572927636802688,2.6351258282070735
cosine|image|k=5|softmax@0.05,1.2715019950653568,1.3252979412902672,2.723907383456362
cosine|image|k=5|softmax@0.1,1.2727610807632121,1.3248021039548372,2.7245852742927603
cosine|image|k=5|softmax@0.2,1.2734066356617355,1.324545993301524,2.7249212885949756
cosine|image|k=5|softmax@0.5,1.2737987862490316,1.3243895879429117,2.7251219599654024
cosine|image|k=5|softmax@1.0,1.2739302802644346,1.3243369877547635,2.725188694361781
cosine|image|k=5|uniform,1.274062155662624,1.3242841528353722,2.725255350778055
cosine|joint|k=5|inverse_sq,1.276144179249346,1.0978918415399623,2.44901284727392
cosine|image|k=8|inverse,1.2859162614225628,1.208684594628766,2.6704262846914015
euclidean|image|k=8|inverse_sq,1.2862106474364647,1.248655434433021,2.6460673246839863
cosine|image|k=5|inverse,1.3063146184794023,1.374174397330549,2.7105055719396
cosine|image|k=8|inverse_sq,1.3125958788383316,1.313871454885444,2.6751498299040493
euclidean|joint|k=3|softmax@0.2,1.3190975454906633,1.1513152238354745,2.429961494235181
euclidean|joint|k=3|softmax@0.5,1.3191620489219582,1.150428475750347,2.4306314734467
euclidean|joint|k=3|softmax@0.1,1.3191712239452003,1.1528281116893255,2.428889767965292
euclidean|joint|k=3|softmax@1.0,1.3192008042153887,1.1501355197944103,2.4308597504988634
euclidean|joint|k=3|uniform,1.319247905058443,1.1498436160067662,2.431090631087059
euclidean|joint|k=3|softmax@0.05,1.3200391676505319,1.1560315712397067,2.4268844263055875
euclidean|joint|k=3|inverse,1.3221026361874477,1.159484224968819,2.4279876034939973
cosine|image|k=5|inverse_sq,1.3262519440426266,1.4033935316590433,2.699038545305072
euclidean|joint|k=3|inverse_sq,1.3274317813505927,1.1693990830182455,2.4271068434014915
euclidean|image|k=5|softmax@0.05,1.3281892089005118,1.3681049588904906,2.723515291592228
euclidean|image|k=5|softmax@0.1,1.3311727402626456,1.3624496506164072,2.7250296505224094
euclidean|image|k=5|softmax@0.2,1.3328060185257546,1.3597195246894827,2.725621861370095
euclidean|image|k=5|softmax@0.5,1.3338233643643704,1.358126790366519,2.7259239023978714
euclidean|image|k=5|softmax@1.0,1.334168053923703,1.3576045340243101,2.726015694745028
euclidean|image|k=5|uniform,1.3345153504741425,1.3570868948758459,2.726103045983262
cosine|joint|k=3|uniform,1.3383818311466547,1.1633700839348526,2.4688461910294377
cosine|joint|k=3|softmax@1.0,1.3386470175330187,1.163213359827732,2.4685345757522867
cosine|joint|k=3|softmax@0.5,1.338912833132479,1.1630564331312065,2.4682234548663273
cosine|joint|k=3|softmax@0.2,1.3397147317555733,1.1625868072440713,2.4672924659719335
cosine|joint|k=3|softmax@0.1,1.3410699478643562,1.161821401472062,2.4657453578103437
cosine|joint|k=3|softmax@0.05,1.3438757225411209,1.1604361237781962,2.4626478510667416
euclidean|image|k=5|inverse,1.3457472085203068,1.377756744475963,2.7237312931303466
euclidean|image|k=3|uniform,1.3528979196352502,1.418263424164363,2.7467331801144477
euclidean|image|k=3|softmax@1.0,1.3531980209724443,1.418599466362267,2.7462984595355513
euclidean|image|k=3|softmax@0.5,1.3534971673178273,1.4189329743843744,2.745861315492062
euclidean|image|k=3|softmax@0.2,1.3543884318699682,1.4199178904588123,2.744535579112527
euclidean|image|k=3|softmax@0.1,1.3558509772463332,1.4215050802267204,2.7422798137581275
euclidean|image|k=5|inverse_sq,1.3567240483248844,1.397119884765786,2.7146668355283556
euclidean|image|k=3|softmax@0.05,1.3586777063280697,1.4267756828798226,2.7376068322757297
