model,val_mae,test_mae
scaled_manhattan|k=3|softmax@0.5,1.0951375060997377,2.5253744103606137
scaled_manhattan|k=3|softmax@1.0,1.0742796148072447,2.4893221366556086
scaled_manhattan|k=5|uniform,1.0351237946822462,2.400642228190288
scaled_manhattan|k=5|inverse,1.0412290213174076,2.403215179096116
scaled_manhattan|k=5|inverse_sq,1.049791299235287,2.408212166932826
scaled_manhattan|k=5|softmax@0.02,1.198161127996381,2.5769005215613885
scaled_manhattan|k=5|softmax@0.05,1.1926700303291933,2.575454356976136
scaled_manhattan|k=5|softmax@0.1,1.165864585709898,2.558874379135
scaled_manhattan|k=5|softmax@0.2,1.1246878286379116,2.5439740693088977
scaled_manhattan|k=5|softmax@0.5,1.102285788778327,2.5105085254500352
scaled_manhattan|k=5|softmax@1.0,1.077949579568422,2.4631669255044213
scaled_manhattan|k=8|uniform,1.132006711032316,2.4303979689590185
scaled_manhattan|k=8|inverse,1.1282991355964571,2.421248324306632
scaled_manhattan|k=8|inverse_sq,1.127445076619191,2.4143612698146124
scaled_manhattan|k=8|softmax@0.02,1.198161127996381,2.5769005215613885
scaled_manhattan|k=8|softmax@0.05,1.1926700303290485,2.575454357015135
scaled_manhattan|k=8|softmax@0.1,1.1658645168707549,2.5588746881122604
scaled_manhattan|k=8|softmax@0.2,1.1246897518895387,2.5438998658680996
scaled_manhattan|k=8|softmax@0.5,1.105015429170998,2.507000009027626
scaled_manhattan|k=8|softmax@1.0,1.0965285718342743,2.4495685695840295
mahalanobis|k=1|uniform,0.992769943419579,2.791163192671353
mahalanobis|k=2|uniform,1.2004017388702533,2.6212466513787924
mahalanobis|k=2|inverse,1.1908119079534376,2.63622373848435
mahalanobis|k=2|inverse_sq,1.1812434354277954,2.6506813123224764
mahalanobis|k=2|softmax@0.02,0.9377876165302023,2.7894368438467607
mahalanobis|k=2|softmax@0.05,0.9499422715501622,2.7867017512722754
mahalanobis|k=2|softmax@0.1,0.95884545843494,2.771350681629715
mahalanobis|k=2|softmax@0.2,1.0433980076259757,2.745371252087525
mahalanobis|k=2|softmax@0.5,1.1294652010321833,2.6967522316546497
mahalanobis|k=2|softmax@1.0,1.1643374674995524,2.6635949761425963
mahalanobis|k=3|uniform,1.1003791441077133,2.476595162535802
mahalanobis|k=3|inverse,1.1027490544740777,2.4948752345946037
mahalanobis|k=3|inverse_sq,1.1043380363858164,2.5143783212065283
mahalanobis|k=3|softmax@0.02,0.93483559066293,2.784017017860034
mahalanobis|k=3|softmax@0.05,0.9451097919548053,2.777370255419793
mahalanobis|k=3|softmax@0.1,0.9591134444466439,2.7538248289594724
mahalanobis|k=3|softmax@0.2,1.0402286123663542,2.697242961344237
mahalanobis|k=3|softmax@0.5,1.0929436546112188,2.5930785077977605
mahalanobis|k=3|softmax@1.0,1.101101579737531,2.53495680775083
mahalanobis|k=5|uniform,1.1042545426519683,2.3607183002784873
mahalanobis|k=5|inverse,1.0998077126231696,2.3804512409568663
mahalanobis|k=5|inverse_sq,1.0951042438768321,2.4025234088665437
mahalanobis|k=5|softmax@0.02,0.9348355924630676,2.782740198841575
mahalanobis|k=5|softmax@0.05,0.9451473463848206,2.774617574202653
mahalanobis|k=5|softmax@0.1,0.9584204042264843,2.7465215442514817
mahalanobis|k=5|softmax@0.2,1.0289977473835654,2.6677118601035077
mahalanobis|k=5|softmax@0.5,1.0665498721964053,2.515059533651688
mahalanobis|k=5|softmax@1.0,1.0840691924064645,2.434520691329383
mahalanobis|k=8|uniform,1.0917943133514458,2.3719116570041443
mahalanobis|k=8|inverse,1.089767172342632,2.38224715179771
mahalanobis|k=8|inverse_sq,1.08740598746268,2.3951741674133116
mahalanobis|k=8|softmax@0.02,0.9348355924720655,2.782740201735761
mahalanobis|k=8|softmax@0.05,0.9451456037174145,2.7746476930602535
mahalanobis|k=8|softmax@0.1,0.9583367247235512,2.7468495755604785
mahalanobis|k=8|softmax@0.2,1.023512266385127,2.6618477431307888
mahalanobis|k=8|softmax@0.5,1.0593179603939604,2.4898151642179607
mahalanobis|k=8|softmax@1.0,1.0820488145915357,2.4145831208053132
