metro,year,kl,recon_img_err,recon_econ_err,anomaly_score,z_0,z_1,z_2,z_3,z_4,z_5,z_6,z_7,z_8,z_9,z_10,z_11,z_12,z_13,z_14,z_15
dallas,2013,2.6988282203674316,0.4845050871372223,0.479385644197464,3.6627190113067627,-0.42211345,0.019230217,-0.45391214,0.3887323,0.5788527,-0.35430056,0.00484283,-0.6073217,-0.45068315,-0.2681358,-0.4088347,0.42752457,0.0891366,1.1689003,0.5495742,0.5459217
dallas,2014,1.6729670763015747,0.3481847047805786,0.4548466205596924,2.4759984016418457,-0.61413753,-0.73961794,-0.56090873,0.5270264,-0.043515675,-0.38055152,0.26283187,-0.18541145,0.06372911,-0.26403257,-0.30776846,0.3459638,0.48308006,0.17818737,-0.00580135,-0.3289046
dallas,2015,2.205918550491333,0.4825604557991028,0.49775558710098267,3.186234474182129,-0.80286306,-0.8462658,-0.6393816,0.5856366,-0.14167178,-0.3651552,0.36390445,-0.34778664,0.16366732,-0.18420705,-0.42123634,0.37007308,0.5013949,0.25617227,-0.035549194,-0.41528982
dallas,2016,1.990255355834961,0.507642388343811,0.43796586990356445,2.935863494873047,-0.7661436,-0.8270498,-0.5434958,0.5005805,-0.22476229,-0.2852811,0.37077022,-0.35433456,0.19187558,-0.01908379,-0.38705146,0.25403225,0.4262577,0.12490062,-0.15960146,-0.45561156
dallas,2017,2.5879735946655273,0.46398404240608215,0.46547994017601013,3.51743745803833,-0.84859604,-0.93961895,-0.69606775,0.6516151,-0.13097511,-0.40659288,0.38794118,-0.32918808,0.1801244,-0.20379512,-0.44657034,0.4014662,0.57631385,0.23248443,-0.08276497,-0.48693684
dallas,2018,2.929095983505249,0.45101213455200195,0.600597620010376,3.980705738067627,-0.95963234,-0.97247523,-0.7335318,0.67351156,-0.14951111,-0.408854,0.4332951,-0.45162088,0.18730545,-0.19196369,-0.5291324,0.41859007,0.5780975,0.31521174,-0.039780878,-0.47921672
dallas,2019,3.0775580406188965,0.5908008813858032,0.6186714172363281,4.287030220031738,-0.9733588,-1.030367,-0.7356599,0.6845921,-0.19904327,-0.3946402,0.46364203,-0.43211746,0.22887708,-0.11313839,-0.52770966,0.39660466,0.5826595,0.24665096,-0.13364437,-0.5524461
dallas,2021,3.9559614658355713,0.25096097588539124,1.6443958282470703,5.851318359375,-0.8216884,-1.1950254,-0.9230414,0.8850424,0.13693228,-0.68973494,0.4333301,-0.0829475,-0.023242164,-0.57404834,-0.5010621,0.6109217,0.84723186,0.23367754,0.06812826,-0.50024354
dallas,2022,4.815096855163574,0.31691527366638184,2.1595704555511475,7.2915825843811035,-0.9720367,-1.2745464,-1.001494,0.9678242,0.16562372,-0.7576341,0.4628527,-0.16281617,-0.004809741,-0.6636064,-0.60559916,0.69547224,0.9516128,0.32253325,0.08977901,-0.5404976
dallas,2023,4.226029872894287,0.4067090153694153,0.9204872250556946,5.553225994110107,-1.0355338,-1.2144133,-0.9425746,0.8836835,0.052053273,-0.6257107,0.49015266,-0.32070667,0.01719769,-0.38118252,-0.61455554,0.59193844,0.79458624,0.36190635,0.018064767,-0.4961194
