metro,year,emb_0,emb_1,emb_2,emb_3,emb_4,emb_5,emb_6,emb_7,emb_8,emb_9,emb_10,emb_11,emb_12,emb_13,emb_14,emb_15,emb_16,emb_17,emb_18,emb_19,emb_20,emb_21,emb_22,emb_23,emb_24,emb_25,emb_26,emb_27,emb_28,emb_29,emb_30,emb_31
dallas,2019,1.073725,2.0309258,1.80041,0.037365705,-1.9917114,-1.3222741,0.5394289,1.2182647,0.55577374,0.36723858,1.1033531,0.41609567,-0.8965958,1.142873,0.67006075,0.40043968,-0.07391625,0.7944166,-0.5468496,-1.4750838,1.294682,-0.39379898,0.7746121,0.21741638,0.52774805,0.38439173,-0.39630175,1.568786,1.6735256,1.414012,0.6532835,0.67182064
dallas,2021,0.88403773,2.1125228,2.0798726,-0.5852372,-3.1231034,-1.517366,1.7837161,0.9807848,-0.12404208,0.85589117,0.42084342,0.48143122,-1.4755291,0.9113168,-0.42568558,-0.989962,0.9677571,1.4233613,-0.04124377,-1.866857,0.6911196,0.26751554,0.64551324,1.6746376,0.4443447,1.6800636,-0.56133974,1.4235601,1.8985523,1.5549917,1.7299334,0.47979343
dallas,2022,1.4109559,2.5609424,2.1267173,0.64045507,-3.4714754,-2.0112596,1.0050913,2.1709228,-0.59480256,-0.19991179,2.074005,0.04193423,-1.1024317,1.0033414,-0.360785,0.5771877,1.0034748,1.0117031,-0.073305406,-2.1111429,0.27500156,-0.6490135,1.1701034,0.7356781,0.09802912,1.8567059,-0.9561237,0.8151174,1.4853637,3.2504766,1.1673671,1.5981265
dallas,2023,1.3427503,2.5526817,2.3827085,-0.09334763,-2.9038522,-1.6007515,1.064955,1.5334278,0.29439592,0.25479034,1.5359551,0.5171867,-1.0690845,1.3337293,0.48655775,0.22479708,0.26549697,1.1351231,-0.55098057,-1.8460083,1.1082813,-0.44556737,0.8208684,0.54322606,0.35535637,0.91283464,-0.72476286,1.6219496,1.9693269,1.8245523,1.0714635,0.8469876
denver,2013,-0.53481054,0.15336165,1.7027829,-2.1122696,0.51982284,0.72254866,2.1300662,-0.9660929,-2.1871054,0.087298796,-1.4967595,1.8572145,-0.50843716,1.2030951,0.72153616,-0.8300256,1.3407965,-0.91437817,-1.6928126,-0.29141033,1.849803,1.6756997,0.33435532,1.2085562,-1.5275332,-2.174331,0.3057266,1.5189457,0.8389676,-0.097736016,-0.2011737,1.681512
denver,2014,0.13394026,0.19936132,0.4621299,-0.23330604,-0.7045313,-0.37077755,0.4077403,-0.12614107,-0.48079127,-0.094137445,-0.36814898,0.36381617,-0.26506627,0.2021229,-0.4222136,-0.08359891,1.0108794,0.32847306,-0.0015730336,-0.5135731,-0.12616631,0.0031102672,0.29102325,0.661919,-0.06987162,0.083096966,0.062318735,-0.12795308,0.08218198,0.7355701,0.12890401,0.749398
denver,2015,0.16607773,0.46082705,0.23261902,-0.009585282,-0.10449605,-0.7447487,-0.24477768,-0.15196839,0.14366028,0.43314832,-0.43273526,0.332329,-0.47625458,0.57953805,-0.2243429,0.333979,0.2774423,0.34083498,0.21197963,-0.045453254,0.06866569,-0.009298205,0.08096766,0.4693739,0.65956974,0.124067225,0.4899583,0.2943241,0.4704156,0.5397006,0.35171634,0.89013875
denver,2016,0.3385294,0.8878293,0.7684505,0.5101968,-0.1877679,-1.3182544,-0.72061217,0.13556856,-0.0080291815,-0.56811607,0.16458352,-0.28751707,-0.1558262,0.7473597,0.8841953,1.3366504,0.63693565,-0.53133285,-0.33592623,-0.38122815,0.16714278,-0.8033915,0.47117046,-0.11668738,0.250354,-0.4088586,0.24674788,0.12342951,-0.04130014,1.3035908,-0.28957748,1.2487537
denver,2017,0.3665366,0.89038736,0.38386363,0.52700067,-0.0030842647,-1.2613053,-0.9518376,0.20999455,0.37840086,-0.03578061,0.022620246,-0.14891475,-0.4229772,0.835401,0.36697018,1.2464951,0.15369302,-0.26939154,0.023079492,-0.16286513,0.14166397,-0.51388747,0.28783712,0.08369019,0.7170056,-0.0055934787,0.49846962,0.34291422,0.4731766,1.2367175,0.115065515,1.2607938
denver,2018,0.37238935,0.7469525,0.48980486,0.23481978,-0.02204319,-0.96643287,-0.49208927,-0.021262214,0.42564723,0.24766429,-0.12881336,0.23032893,-0.43874437,0.7824214,0.21398616,0.9056851,0.00801111,0.040061243,-0.044832222,-0.09227881,0.25920632,-0.2858206,0.029744528,0.09133746,0.6902428,0.025073417,0.4371335,0.47766078,0.61927617,0.82725734,0.24070463,1.0495223
denver,2019,0.35475874,1.0280012,0.4947368,0.28460625,-0.18235582,-1.2338773,-0.48961115,0.03648989,0.5176567,0.6756089,-0.24132858,0.31815344,-0.8036461,1.0620314,-0.18470186,0.90835685,0.0075055137,0.33968532,0.20737323,-0.16922225,0.13251394,-0.26823616,-0.07849435,0.3857426,1.0294687,0.40072048,0.4744432,0.5514263,0.80200773,0.9869208,0.5941833,1.2935373
denver,2021,-0.897981,0.7072994,1.7493061,-2.0337074,-0.19810855,-0.5018791,1.9092509,-1.1206292,-0.98274416,1.8279525,-2.2622101,1.618062,-1.5939765,1.9330999,-0.55648863,-1.541173,0.8519086,0.5978189,0.09006827,-0.4941677,0.7745673,1.2035438,0.048792683,2.2452033,0.23298255,-0.4400766,0.5061387,1.2533628,0.9789119,-0.50212395,1.5048732,0.9841242
denver,2022,0.5335082,1.3337238,0.87203926,0.43538153,-0.7587458,-1.5425761,-0.25633645,0.20353839,0.07289104,0.33916482,0.3676657,0.19887751,-0.8585671,1.0507305,-0.36745167,1.0282605,0.45364735,0.42380401,0.28218907,-0.45241132,-0.6262067,-0.59810114,-0.23657033,0.5426443,0.8606933,0.8959368,0.019260451,0.14598477,0.5806719,1.5470347,0.7218831,1.4466594
denver,2023,0.5394268,1.0178002,1.5117836,-0.2842748,0.08402742,-1.074163,0.43183488,-0.5367049,0.5161923,0.6285193,-0.40065402,0.96307445,-0.895509,1.8526373,0.8743846,0.98458636,-0.37855798,0.056630798,-0.51105404,0.0017422996,0.34303036,-0.3321819,-0.7559506,0.011815965,0.68277377,-0.21444921,0.07221047,0.9859418,0.8024115,0.24639784,0.54440975,1.4331704
houston,2013,0.46008518,1.4748352,3.063919,-1.9208883,-0.7146582,0.3246978,2.3413227,-0.43991387,-1.0817226,0.40555188,-0.40184253,1.9821889,-1.4027325,1.841426,1.7267784,-0.294959,0.09897942,-0.16153929,-2.069954,-0.8987179,2.3107524,0.6519554,-0.53519046,0.83289117,-1.2658591,-1.5553359,-0.6214528,2.1438415,1.6886585,-0.007117152,0.67575735,1.2986945
houston,2014,0.87618184,1.5460289,2.4416401,-0.52943987,-1.9682376,-0.5701458,1.4162565,0.33347082,-0.5185798,-0.49980912,0.810885,0.94409794,-0.5729646,1.1291449,0.7956729,0.42495465,0.49490792,0.45670095,-1.0949044,-1.2401122,0.85974324,-0.6162798,0.006900929,0.29648846,-0.6257159,-0.24117248,-0.9219086,0.8857139,0.96665275,1.0999249,0.48579386,0.96343505
houston,2015,0.6466253,1.5820421,2.0700517,-0.8911626,-1.6438823,-0.8151988,1.45126,0.080079906,0.0389339,1.2918919,-0.13592564,0.7789908,-1.4309915,1.383496,0.5687983,-0.7597649,-0.04360508,1.0382442,-0.31897932,-1.1211311,0.8984071,0.23346251,-0.26980194,1.0107169,0.5599494,0.53880036,-0.54708856,1.6344948,1.5278337,0.12216242,1.3082894,0.2947864
houston,2016,1.0278498,1.7462728,3.2500842,-1.0206871,-1.5693525,-0.31396532,1.7834569,0.018876337,-1.0770261,-0.8754241,0.7211612,1.4822671,-0.72503245,1.637578,1.9990833,1.178624,0.5135267,-0.40319026,-2.5169406,-1.3790966,1.9516704,-0.65563804,-0.07539783,-0.007547565,-1.3972324,-1.5848839,-0.8948096,1.362151,1.1513377,1.2437627,-0.03801784,1.8774537
houston,2017,0.8973045,1.5174057,2.593813,-1.088902,-1.183343,-0.22864218,1.5585355,0.06298631,-0.2934169,0.021210134,0.22612344,1.4229894,-1.0519767,1.5275095,1.4957104,0.1979524,-0.13364291,0.11003763,-1.6436346,-1.0249717,1.8382292,-0.08214136,-0.2033023,0.35778835,-0.69879675,-0.9207599,-0.68742263,1.7458242,1.5335113,0.4669516,0.5840008,1.0472809
houston,2018,0.911585,1.6979218,2.0225315,-0.5462682,-1.879535,-0.93299204,1.128383,0.51381207,0.16560893,0.59386694,0.56054664,0.69837534,-0.9696504,1.2121053,0.5710034,-0.1622602,0.037870206,0.9403972,-0.44937694,-1.1430937,0.8529705,-0.15669388,0.06853076,0.587792,0.3556673,0.4657768,-0.54696465,1.4068112,1.4973967,0.7322578,0.9814894,0.5147687
houston,2019,1.1391464,1.8315506,2.7752974,-0.4847981,-1.1693101,-0.9276658,0.8807202,0.4253905,-0.09779997,-0.5770359,0.8722687,1.056776,-0.7342701,1.6598059,2.0446067,1.473372,-0.17832798,-0.20525813,-1.9259769,-1.1231414,1.8107008,-0.9023488,0.0957311,-0.2923458,-0.61264414,-1.2549297,-0.5221596,1.5680939,1.3506039,1.1635941,0.11836773,1.6455383
houston,2021,-0.038912915,1.917624,2.947888,-2.3182893,-1.5162033,-0.4447168,2.9388242,-0.469583,-0.6490601,2.028523,-1.4494615,1.6533906,-2.266208,2.069775,0.60437244,-1.9176626,0.34500074,0.94987786,-0.795005,-1.3868324,1.875462,1.1173328,-0.20027569,2.0829177,0.02866143,-0.11546342,-0.4468928,2.376347,1.9651948,-0.6812223,2.0129743,0.34047645
houston,2022,1.1049949,2.21921,2.621727,0.1483035,-2.8780377,-1.4315451,1.2576776,1.133376,-0.64476144,-0.5461302,1.6454734,0.4739324,-0.711759,1.2077911,0.4328848,0.9684304,0.75584036,0.772252,-0.65632933,-1.8063588,0.43317392,-1.0927297,0.4157429,0.24192017,-0.4095245,0.74860203,-1.1116219,0.6637948,1.0245523,2.2533395,0.72265184,1.4260192
houston,2023,1.1477456,2.0915282,2.0816705,-0.22902326,-2.806691,-1.5662677,1.2843024,1.1896011,-0.059017707,0.64069974,1.1679664,0.5418746,-1.1636204,1.1523005,-0.11415219,-0.21607636,0.52834916,1.3025129,-0.013677664,-1.4554175,0.27469113,-0.18617699,0.36751887,0.9763246,0.41981447,1.6676363,-0.75690997,1.2365624,1.7228833,1.7385709,1.445865,0.97203064
jacksonville,2013,-1.8029574,-0.6340447,1.1864874,-2.4032993,0.8586557,1.2416604,2.4312122,-1.2818748,-3.2451975,-0.13381122,-2.4550714,1.940587,-0.03725137,0.80638844,-0.29989687,-1.7479458,2.6276345,-1.4779266,-1.7842519,-0.18959984,1.7567178,2.6611116,1.8286266,2.0794451,-1.748422,-3.0395136,0.7210368,1.1736784,0.42978188,0.03744039,-0.6933301,2.0385823
jacksonville,2014,-1.4519738,-0.68400335,0.4953435,-1.3484281,-0.010788433,0.58607656,1.5912148,-0.78831404,-2.255051,-0.36751935,-1.8956496,1.043694,0.1044424,0.18099457,-1.0021354,-1.3475816,2.5722413,-0.73833966,-0.8211293,-0.4810799,0.71376485,1.7258068,1.8717334,1.9095496,-0.9255813,-1.7369591,0.5482491,0.12960291,-0.09497283,0.66032857,-0.4881748,1.5947262
