metro,year,kl,recon_img_err,recon_econ_err,anomaly_score,z_0,z_1,z_2,z_3,z_4,z_5,z_6,z_7,z_8,z_9,z_10,z_11,z_12,z_13,z_14,z_15
denver,2015,0.09514930844306946,1.2404448986053467,0.4378691613674164,1.7734633684158325,0.021055385,-0.014681425,0.04900252,-0.027620569,-0.22949302,-0.047698542,-0.2087097,0.096026115,-0.017280327,-0.034603022,0.076760374,0.009076486,0.08443747,-0.06349453,0.14153281,0.0867895
denver,2016,0.08606961369514465,0.9546595811843872,0.7269331216812134,1.7676622867584229,0.06696995,-0.030393396,0.018036269,-0.0019060895,-0.21031594,0.009261299,-0.17822866,0.11682506,0.036662705,-0.056431647,0.09090558,0.020007629,0.04373803,-0.07389087,0.099778734,0.09443353
denver,2017,0.08585670590400696,0.9591884613037109,0.6937633752822876,1.738808512687683,0.05607812,-0.028029079,0.025779374,-0.0057073683,-0.21129972,-0.023309276,-0.17246175,0.10121058,-0.0049427156,-0.05978856,0.09680107,0.00589406,0.07777054,-0.07289151,0.11745714,0.06515623
denver,2018,0.09783437848091125,2.6318438053131104,0.56198650598526,3.2916646003723145,0.04534359,-0.02855903,0.036500044,-0.0011946261,-0.23566037,-0.044402882,-0.21026172,0.08768629,-0.016111681,-0.057012316,0.08637475,0.0036492827,0.060947068,-0.060305644,0.14317238,0.09679213
denver,2019,0.11217206716537476,3.623908281326294,0.8255623579025269,4.561642646789551,0.025519285,-0.021860685,0.07348851,-0.02905865,-0.25757605,-0.06479379,-0.25171006,0.05028653,-0.02833588,-0.05017141,0.057272457,-0.0035202685,0.08070912,-0.056993958,0.13385613,0.102170676
denver,2021,0.11548846960067749,1.1012122631072998,2.3521413803100586,3.5688421726226807,0.08461319,-0.043873332,0.0325004,-0.014432862,-0.21880034,-0.068509154,-0.24084036,0.16878833,0.02230563,-0.06540975,0.06638727,-0.027684275,0.09023488,-0.03342491,0.11614597,0.11175239
denver,2022,0.10430800914764404,2.7923388481140137,1.0098326206207275,3.9064793586730957,0.02153535,-0.043823224,0.04873181,-0.016987965,-0.24688405,-0.040312633,-0.23718645,0.05126358,-0.032665472,-0.047322277,0.07725683,-0.028349921,0.09877612,-0.06966662,0.09129662,0.082809426
denver,2023,0.10714760422706604,2.068328380584717,1.1913520097732544,3.366827964782715,0.070630446,-0.023594886,0.06689257,-0.03975161,-0.24650508,-0.07387816,-0.2273023,0.09243819,-0.0015800518,-0.05917017,0.058349848,-0.006259415,0.11863914,-0.038751353,0.114234686,0.08215439
houston,2013,0.08387425541877747,0.9653586745262146,2.2370400428771973,3.2862730026245117,0.06855116,-0.031201871,0.0010428131,0.0095974505,-0.22009107,-0.010231659,-0.14167544,0.11333911,0.049527317,-0.041660924,0.106900156,0.028183691,0.04433981,0.0021174774,0.123019874,0.10332784
houston,2014,0.08858877420425415,0.4076579809188843,1.1856982707977295,1.6819450855255127,0.0016677119,-0.026359746,0.034989476,-0.010272838,-0.22131076,-0.034477286,-0.19049096,0.0689657,-0.01310034,-0.03859447,0.08518014,0.0068143946,0.099303685,-0.053466983,0.13369049,0.058588475
houston,2015,0.1169811487197876,0.45736929774284363,1.9836647510528564,2.5580153465270996,-0.023849614,-0.013700681,0.06293639,-0.048378788,-0.25500014,-0.068221636,-0.24424371,0.038060077,-0.020111604,-0.027362121,0.059876807,0.0013386307,0.13425188,-0.020059403,0.13354203,0.06816248
houston,2016,0.08388158679008484,0.527717113494873,2.2327096462249756,2.844308376312256,0.0049112644,-0.034305148,0.0014578775,0.004596688,-0.21542779,-0.02522774,-0.1420193,0.102947034,0.020515746,-0.017881326,0.11236483,0.04833132,0.069476694,-0.020035535,0.15497854,0.088835314
houston,2017,0.08489751815795898,0.6754615306854248,1.5353374481201172,2.295696496963501,-0.007878113,-0.02789119,0.025871001,-0.028571106,-0.22445089,-0.0128380135,-0.1585922,0.051240772,0.018226393,-0.026449839,0.082148634,0.0022516053,0.079243146,-0.050324,0.12278404,0.073168635
houston,2018,0.11376932263374329,0.7032902240753174,1.476510763168335,2.2935702800750732,-0.053423088,-0.0127827125,0.057239197,-0.060087524,-0.25328583,-0.05275707,-0.22141388,0.019930452,-0.018109651,-0.015140612,0.055486962,0.011411287,0.12642004,-0.043763496,0.14144932,0.06653799
houston,2019,0.08187568187713623,0.9154940843582153,1.9805138111114502,2.977883815765381,0.03485791,-0.03755115,-0.0019351244,0.021046303,-0.22048646,-0.016108677,-0.16603217,0.091491245,0.0020725448,-0.040133096,0.11315811,0.027255952,0.063657925,-0.023283303,0.12663303,0.0851886
houston,2021,0.11901748180389404,1.366209626197815,4.209609031677246,5.694836139678955,0.058976773,-0.044187278,0.03111682,-0.015783675,-0.24221185,-0.07761485,-0.25898105,0.13219053,-0.0048207324,-0.053143993,0.070553005,-0.013345908,0.10743267,-0.0046945065,0.11142619,0.11693199
houston,2022,0.11263623833656311,2.6182994842529297,2.3397531509399414,5.070688724517822,-0.021861225,-0.016689245,0.064597435,-0.018996611,-0.26957372,-0.05118926,-0.24874651,0.020727389,-0.04415148,-0.017365083,0.0932658,0.0114639755,0.112557314,-0.011052124,0.12941137,0.075874306
