metro,year,z_img_0,z_img_1,z_img_2,z_img_3,z_img_4,z_img_5,z_img_6,z_img_7,z_img_8,z_img_9,z_img_10,z_img_11,z_img_12,z_img_13,z_img_14,z_img_15
minneapolis,2017,-1.3449172973632812,-0.3829824924468994,0.3172255754470825,-0.0492381826043129,-0.5641297698020935,0.47281980514526367,0.42345544695854187,-1.7376974821090698,0.34356066584587097,1.1258649826049805,-0.8772947192192078,-0.3889962136745453,-0.5660143494606018,0.58956378698349,-0.00642143189907074,-0.1757168471813202
minneapolis,2018,-0.9270951151847839,-0.14216455817222595,0.42951345443725586,-0.2087855041027069,-0.4831879436969757,0.4802072048187256,0.3053967356681824,-1.4083356857299805,0.17527690529823303,1.0628646612167358,-0.6676732897758484,-0.4564895033836365,-0.6461590528488159,0.49660396575927734,0.06973809003829956,-0.012736387550830841
minneapolis,2019,-2.8291707038879395,-1.1970252990722656,-0.5084266066551208,0.6869814395904541,-0.23205360770225525,-0.21576175093650818,0.7442807555198669,-2.6072731018066406,0.38102105259895325,0.3415238559246063,-1.7325400114059448,0.5891958475112915,0.28813040256500244,1.5209267139434814,0.20893825590610504,-0.29514291882514954
minneapolis,2020,-1.8709670305252075,-0.7257349491119385,-0.13769394159317017,0.31475210189819336,-0.41746774315834045,0.20849516987800598,0.57390958070755,-1.8762526512145996,0.400345116853714,0.7081167697906494,-1.1168742179870605,0.03863896057009697,-0.1920914500951767,0.9171593189239502,0.07154778391122818,-0.24951475858688354
minneapolis,2021,-1.6429368257522583,-0.7033637762069702,-0.33174702525138855,0.426381379365921,-0.18303479254245758,-0.06093273311853409,0.44457709789276123,-1.4589190483093262,0.23626360297203064,0.21785300970077515,-0.9479376673698425,0.32386526465415955,0.1430884748697281,0.8386433124542236,0.15273788571357727,-0.2108592987060547
minneapolis,2022,-1.6800893545150757,-0.6657109260559082,-0.1067817434668541,0.26942962408065796,-0.43865031003952026,0.248427152633667,0.5455963015556335,-1.7038451433181763,0.3974231779575348,0.7048804759979248,-1.0056335926055908,-0.010239309631288052,-0.21473117172718048,0.7623038291931152,0.035236917436122894,-0.25744500756263733
minneapolis,2023,-1.6405420303344727,-0.6552883982658386,-0.1416965126991272,0.2877119779586792,-0.4099169969558716,0.212614506483078,0.53229159116745,-1.6096107959747314,0.3768649995326996,0.6294670104980469,-0.9707629084587097,0.027544304728507996,-0.17165443301200867,0.7488213181495667,0.04161842167377472,-0.2623797357082367
nashville,2013,-1.0918054580688477,-0.4507063627243042,0.018522389233112335,0.12606605887413025,-0.467529833316803,0.2754826247692108,0.3947102427482605,-1.0689291954040527,0.3725913465023041,0.6418768167495728,-0.5818551182746887,-0.1254332959651947,-0.23252929747104645,0.33723825216293335,-0.10012844204902649,-0.3114473223686218
nashville,2014,-1.3847559690475464,-0.5299196839332581,0.020072676241397858,0.15556879341602325,-0.5002145171165466,0.3346635103225708,0.48030948638916016,-1.4523766040802002,0.3984505236148834,0.7827016711235046,-0.8111026883125305,-0.1513545662164688,-0.31123086810112,0.5557273626327515,-0.02910616248846054,-0.27152219414711
nashville,2015,-0.5963032841682434,-0.2700141370296478,0.16547495126724243,-0.016649402678012848,-0.49264147877693176,0.33940911293029785,0.2700892388820648,-0.6202831268310547,0.34265488386154175,0.6426098942756653,-0.25688618421554565,-0.2680741846561432,-0.2967682480812073,-0.01724950224161148,-0.21621693670749664,-0.33079564571380615
nashville,2016,-0.8790186047554016,-0.36807364225387573,0.086031474173069,0.04992029815912247,-0.46231546998023987,0.2815001308917999,0.3256480395793915,-0.9259055256843567,0.335933119058609,0.6249189376831055,-0.45621442794799805,-0.17946304380893707,-0.24457886815071106,0.19369792938232422,-0.10060213506221771,-0.29115116596221924
nashville,2017,-1.3272862434387207,-0.573133647441864,-0.2862895429134369,0.35130611062049866,-0.19459354877471924,-0.014875270426273346,0.3811245560646057,-1.1402039527893066,0.22570905089378357,0.19946470856666565,-0.7283843159675598,0.2434006780385971,0.09815113991498947,0.6202229261398315,0.12027017027139664,-0.21806198358535767
nashville,2018,-0.8152552247047424,-0.33095455169677734,0.2288215160369873,-0.041469134390354156,-0.5803601741790771,0.3902713656425476,0.32488155364990234,-0.9317036271095276,0.4021911323070526,0.8208454847335815,-0.41953611373901367,-0.3336479663848877,-0.3704681992530823,0.0605793222784996,-0.24308885633945465,-0.37234166264533997
nashville,2019,-1.6132917404174805,-0.6997945308685303,-0.34145161509513855,0.4244844615459442,-0.19186915457248688,-0.07691673189401627,0.4444493055343628,-1.408492088317871,0.24229058623313904,0.18985316157341003,-0.9190636277198792,0.3317115902900696,0.17085397243499756,0.7934912443161011,0.15010251104831696,-0.22971874475479126
nashville,2020,-0.6745122671127319,-0.3200433552265167,0.10901037603616714,0.003542572259902954,-0.47751036286354065,0.2726518213748932,0.2766653597354889,-0.6928951740264893,0.3322090208530426,0.5798155665397644,-0.3096206784248352,-0.20720279216766357,-0.22113043069839478,0.002089880406856537,-0.1845792979001999,-0.3386925458908081
nashville,2021,-0.3188196122646332,-0.1408245712518692,0.14680927991867065,-0.05688134580850601,-0.3644016683101654,0.25240403413772583,0.14700202643871307,-0.34816643595695496,0.20004984736442566,0.4589634835720062,-0.09372468292713165,-0.21162362396717072,-0.23272304236888885,-0.10667984932661057,-0.12251314520835876,-0.23431795835494995
nashville,2022,-0.9077372550964355,-0.4179844558238983,-0.0393882617354393,0.14132964611053467,-0.3881300687789917,0.16227585077285767,0.3172139823436737,-0.8122447729110718,0.3259185254573822,0.4450893700122833,-0.4351155161857605,-0.02102832868695259,-0.09417785704135895,0.2067583203315735,-0.104543536901474,-0.3221496045589447
nashville,2023,-0.8041295409202576,-0.3173734247684479,0.10788697749376297,0.026882611215114594,-0.4567428231239319,0.30971962213516235,0.30432963371276855,-0.8712104558944702,0.3066069781780243,0.6272792816162109,-0.42605990171432495,-0.22741125524044037,-0.2799041271209717,0.16210898756980896,-0.09357212483882904,-0.2810567021369934
new_orleans,2013,-1.3277664184570312,-0.5254195332527161,0.010895796120166779,0.153935968875885,-0.4968506991863251,0.30571484565734863,0.463581383228302,-1.3632971048355103,0.4010521173477173,0.7392438650131226,-0.7570315003395081,-0.12864969670772552,-0.2713032066822052,0.49838829040527344,-0.049324631690979004,-0.28941580653190613
new_orleans,2014,-1.5895767211914062,-0.592433512210846,-0.04183552414178848,0.22961539030075073,-0.47118687629699707,0.3133831024169922,0.5276735424995422,-1.6306569576263428,0.3962593078613281,0.7691513299942017,-0.9494190812110901,-0.08672482520341873,-0.28804686665534973,0.7372010946273804,0.04161551594734192,-0.24210338294506073
