metro,year,selected_date,selected_quality_flag,baseline_08_01_date,baseline_08_01_core_diffuse_cloud_pct,baseline_08_01_diffuse_cloud_pct,selected_core_diffuse_cloud_pct,selected_diffuse_cloud_pct,selected_core_dark_or_empty_pct,selected_dark_or_empty_pct,status,requested_tiles,fetched_tiles,missing_tiles,width,height,actual_core_diffuse_cloud_pct,actual_diffuse_cloud_pct,actual_core_dark_or_empty_pct,actual_dark_or_empty_pct,actual_core_mean_brightness,actual_mean_brightness,output_path,refreshed_at_utc
houston,2020,2020-10-01,clean,2020-08-01,22.13,26.02,0.00,0.00,0.00,0.00,written,1,1,0,512,512,0.00,0.00,0.00,0.00,0.2134,0.2163,data/imagery/houston/modis_rgb/2020.tif,2026-05-06T04:34:29.835122+00:00
houston,2021,2021-06-15,clean,2021-08-01,38.43,30.39,0.53,5.41,0.01,0.00,written,1,1,0,512,512,0.53,5.41,0.01,0.00,0.2552,0.3273,data/imagery/houston/modis_rgb/2021.tif,2026-05-06T04:34:30.367701+00:00
houston,2022,2022-05-01,clean,2022-08-01,0.52,1.83,0.00,1.96,0.00,0.00,written,1,1,0,512,512,0.00,1.96,0.00,0.00,0.2032,0.2689,data/imagery/houston/modis_rgb/2022.tif,2026-05-06T04:34:30.814279+00:00
houston,2023,2023-09-15,clean,2023-08-01,0.00,1.63,0.00,0.00,0.00,0.00,written,1,1,0,512,512,0.00,0.00,0.00,0.00,0.2919,0.3009,data/imagery/houston/modis_rgb/2023.tif,2026-05-06T04:34:31.333930+00:00
jacksonville,2013,2013-08-01,clean,2013-08-01,2.37,4.99,2.37,4.99,0.00,0.15,written,2,2,0,1024,512,2.37,4.99,0.00,0.15,0.1727,0.2098,data/imagery/jacksonville/modis_rgb/2013.tif,2026-05-06T04:34:32.209808+00:00
jacksonville,2014,2014-06-01,clean,2014-08-01,0.59,6.30,1.90,3.58,0.00,0.02,written,2,2,0,1024,512,1.90,3.58,0.00,0.02,0.1813,0.2055,data/imagery/jacksonville/modis_rgb/2014.tif,2026-05-06T04:34:33.053117+00:00
jacksonville,2015,2015-09-15,clean,2015-08-01,3.37,5.38,1.56,2.01,0.00,0.00,written,2,2,0,1024,512,1.56,2.01,0.00,0.00,0.1888,0.1841,data/imagery/jacksonville/modis_rgb/2015.tif,2026-05-06T04:34:33.951123+00:00
jacksonville,2016,2016-05-01,clean,2016-08-01,11.23,11.22,1.07,2.69,0.00,0.00,written,2,2,0,1024,512,1.07,2.69,0.00,0.00,0.2009,0.2272,data/imagery/jacksonville/modis_rgb/2016.tif,2026-05-06T04:34:34.821997+00:00
jacksonville,2017,2017-05-15,clean,2017-08-01,9.79,9.52,2.55,3.83,0.00,0.00,written,2,2,0,1024,512,2.55,3.83,0.00,0.00,0.2169,0.2422,data/imagery/jacksonville/modis_rgb/2017.tif,2026-05-06T04:34:35.668546+00:00
jacksonville,2018,2018-06-15,clean,2018-08-01,6.08,6.21,3.01,5.69,0.00,0.00,written,2,2,0,1024,512,3.01,5.69,0.00,0.00,0.2266,0.2647,data/imagery/jacksonville/modis_rgb/2018.tif,2026-05-06T04:34:36.594504+00:00
jacksonville,2019,2019-04-15,clean,2019-08-01,13.32,6.50,0.43,1.49,0.00,0.00,written,2,2,0,1024,512,0.43,1.49,0.00,0.00,0.2203,0.2123,data/imagery/jacksonville/modis_rgb/2019.tif,2026-05-06T04:34:37.463718+00:00
jacksonville,2020,2020-10-15,clean,2020-08-01,0.64,3.12,0.76,2.19,0.00,1.45,written,2,2,0,1024,512,0.76,2.19,0.00,1.45,0.2090,0.2749,data/imagery/jacksonville/modis_rgb/2020.tif,2026-05-06T04:34:38.443668+00:00
jacksonville,2021,2021-05-01,clean,2021-08-01,4.86,5.75,1.77,2.59,0.00,0.00,written,2,2,0,1024,512,1.77,2.59,0.00,0.00,0.1839,0.2066,data/imagery/jacksonville/modis_rgb/2021.tif,2026-05-06T04:34:39.161899+00:00
jacksonville,2022,2022-07-01,clean,2022-08-01,3.96,9.64,0.94,3.19,0.00,1.89,written,2,2,0,1024,512,0.94,3.19,0.00,1.89,0.1974,0.2274,data/imagery/jacksonville/modis_rgb/2022.tif,2026-05-06T04:34:40.413002+00:00
jacksonville,2023,2023-04-01,clean,2023-08-01,9.44,9.35,1.31,5.97,0.00,0.00,written,2,2,0,1024,512,1.31,5.97,0.00,0.00,0.2913,0.3100,data/imagery/jacksonville/modis_rgb/2023.tif,2026-05-06T04:34:41.380600+00:00
las_vegas,2013,2013-04-26,cloudy_but_complete,2013-08-01,19.85,36.81,19.97,23.66,0.01,0.00,written,2,2,0,1024,512,19.97,23.66,0.01,0.00,0.3869,0.4077,data/imagery/las_vegas/modis_rgb/2013.tif,2026-05-06T04:34:42.386165+00:00
las_vegas,2014,2014-05-24,cloudy_but_complete,2014-08-01,34.58,51.47,14.92,20.79,0.00,0.00,written,2,2,0,1024,512,14.92,20.79,0.00,0.00,0.4105,0.4641,data/imagery/las_vegas/modis_rgb/2014.tif,2026-05-06T04:34:43.571690+00:00
las_vegas,2015,2015-11-19,cloudy_but_complete,2015-08-01,62.04,56.75,28.45,23.62,0.00,0.00,written,2,2,0,1024,512,28.45,23.62,0.00,0.00,0.5035,0.4715,data/imagery/las_vegas/modis_rgb/2015.tif,2026-05-06T04:34:44.424022+00:00
las_vegas,2016,2016-01-15,cloudy_but_complete,2016-08-01,71.85,71.40,10.65,9.17,0.00,0.00,written,2,2,0,1024,512,10.65,9.17,0.00,0.00,0.3358,0.3018,data/imagery/las_vegas/modis_rgb/2016.tif,2026-05-06T04:34:45.206166+00:00
las_vegas,2017,2017-04-05,cloudy_but_complete,2017-08-01,14.17,18.54,10.84,13.87,0.00,0.00,written,2,2,0,1024,512,10.84,13.87,0.00,0.00,0.4148,0.4114,data/imagery/las_vegas/modis_rgb/2017.tif,2026-05-06T04:34:46.081444+00:00
las_vegas,2018,2018-02-12,cloudy_but_complete,2018-08-01,38.66,33.84,16.86,25.59,0.00,0.00,written,2,2,0,1024,512,16.86,25.59,0.00,0.00,0.4166,0.4819,data/imagery/las_vegas/modis_rgb/2018.tif,2026-05-06T04:34:47.019415+00:00
las_vegas,2019,2019-08-30,cloudy_but_complete,2019-08-01,53.01,50.21,18.71,25.81,0.00,2.30,written,2,2,0,1024,512,18.71,25.81,0.00,2.30,0.4241,0.4557,data/imagery/las_vegas/modis_rgb/2019.tif,2026-05-06T04:34:47.924783+00:00
las_vegas,2020,2020-04-26,cloudy_but_complete,2020-08-01,36.70,43.83,10.71,23.43,0.00,1.94,written,2,2,0,1024,512,10.71,23.43,0.00,1.94,0.4219,0.4863,data/imagery/las_vegas/modis_rgb/2020.tif,2026-05-06T04:34:48.720025+00:00
las_vegas,2021,2021-08-20,cloudy_but_complete,2021-08-01,65.85,70.77,16.64,26.87,0.01,0.00,written,2,2,0,1024,512,16.64,26.87,0.01,0.00,0.4298,0.5217,data/imagery/las_vegas/modis_rgb/2021.tif,2026-05-06T04:34:49.695283+00:00
las_vegas,2022,2022-01-08,clean,2022-08-01,26.40,38.15,8.37,12.63,0.00,0.00,written,2,2,0,1024,512,8.37,12.63,0.00,0.00,0.3344,0.3577,data/imagery/las_vegas/modis_rgb/2022.tif,2026-05-06T04:34:50.582624+00:00
