metro,year,selected_date,selected_quality_flag,selected_missing_tiles,selected_core_diffuse_cloud_pct,selected_diffuse_cloud_pct,selected_core_strict_white_cloud_pct,selected_strict_white_cloud_pct,selected_core_dark_or_empty_pct,selected_dark_or_empty_pct,baseline_08_01_date,baseline_08_01_missing_tiles,baseline_08_01_core_diffuse_cloud_pct,baseline_08_01_diffuse_cloud_pct,baseline_08_01_dark_or_empty_pct,improvement_vs_08_01
jacksonville,2018,2018-06-15,clean,0,3.01,5.69,0.16,0.20,0.00,0.00,2018-08-01,0,6.08,6.21,27.82,0.52
jacksonville,2019,2019-04-15,clean,0,0.43,1.49,0.00,0.02,0.00,0.00,2019-08-01,0,13.32,6.50,17.81,5.01
jacksonville,2020,2020-10-15,clean,0,0.76,2.19,0.00,0.00,0.00,1.45,2020-08-01,0,0.64,3.12,34.77,0.93
jacksonville,2021,2021-05-01,clean,0,1.77,2.59,0.07,0.06,0.00,0.00,2021-08-01,0,4.86,5.75,0.00,3.16
jacksonville,2022,2022-07-01,clean,0,0.94,3.19,0.00,0.04,0.00,1.89,2022-08-01,0,3.96,9.64,0.00,6.45
jacksonville,2023,2023-04-01,clean,0,1.31,5.97,0.02,0.18,0.00,0.00,2023-08-01,0,9.44,9.35,0.00,3.38
kansas_city,2013,2013-03-15,clean,0,0.77,1.27,0.01,0.01,0.00,0.00,2013-08-01,0,43.54,38.64,0.00,37.37
kansas_city,2014,2014-09-01,clean,0,0.73,1.32,0.00,0.04,0.00,0.00,2014-08-01,0,0.35,3.76,71.13,2.44
kansas_city,2015,2015-10-15,clean,0,0.45,1.19,0.00,0.02,0.00,0.00,2015-08-01,0,39.73,43.69,0.00,42.50
kansas_city,2016,2016-09-15,clean,0,0.17,1.09,0.00,0.03,0.00,0.00,2016-08-01,0,50.92,46.26,0.07,45.17
kansas_city,2017,2017-04-15,clean,0,1.12,1.38,0.00,0.00,0.00,0.00,2017-08-01,0,29.33,35.85,0.00,34.47
kansas_city,2018,2018-06-01,clean,0,3.37,6.23,0.01,0.14,0.00,0.00,2018-08-01,0,20.57,31.98,0.00,25.75
kansas_city,2019,2019-10-15,clean,0,1.29,3.18,0.00,0.23,0.00,0.00,2019-08-01,0,29.79,28.72,20.79,25.54
kansas_city,2020,2020-09-15,clean,0,0.07,0.17,0.00,0.00,0.00,0.00,2020-08-01,0,0.65,26.60,71.33,26.43
kansas_city,2021,2021-04-15,clean,0,0.93,1.17,0.00,0.01,0.00,0.00,2021-08-01,0,62.18,45.22,0.00,44.05
kansas_city,2022,2022-09-20,clean,0,0.48,0.92,0.00,0.02,0.00,0.00,2022-08-01,0,65.77,60.07,0.00,59.15
